dataset,feature_set,model,raw_model,group_sparse_dimension,group_sparsity,pre_truncation_sparse_dimension,actual_sparse_dimension,pre_truncation_sparsity,actual_sparsity,dense_dimension,p5,p95,p95_over_p5,stats_path
cc3m,truncated,laion__CLIP-ViT-H-14-laion2B-s32B-b79K_img,topk_16384_laion__CLIP-ViT-H-14-laion2B-s32B-b79K_img_k_32,16384,32,16384,15240,32,29.4176,1024,0.0415339,0.221113,5.32368,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_laion__CLIP-ViT-H-14-laion2B-s32B-b79K_img_k_32/sparse_features_statistics.npz
cc3m,truncated,laion__CLIP-ViT-H-14-laion2B-s32B-b79K_text,topk_16384_laion__CLIP-ViT-H-14-laion2B-s32B-b79K_text_k_32,16384,32,16384,14969,32,28.2405,1024,0.0305111,0.284787,9.33387,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_laion__CLIP-ViT-H-14-laion2B-s32B-b79K_text_k_32/sparse_features_statistics.npz
cc3m,truncated,meta-llama__Llama-3.2-1B-Instruct_text,topk_16384_meta-llama__Llama-3.2-1B-Instruct_text_k_32,16384,32,16384,15554,32,26.2381,2048,0.0250882,0.207663,8.27732,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_meta-llama__Llama-3.2-1B-Instruct_text_k_32/sparse_features_statistics.npz
cc3m,truncated,meta-llama__Llama-3.2-3B-Instruct_text,topk_16384_meta-llama__Llama-3.2-3B-Instruct_text_k_32,16384,32,16384,15899,32,27.2249,3072,0.0252918,0.214321,8.47392,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_meta-llama__Llama-3.2-3B-Instruct_text_k_32/sparse_features_statistics.npz
cc3m,truncated,microsoft__beit-base-patch16-224_img,topk_16384_microsoft__beit-base-patch16-224_img_k_32,16384,32,16384,16234,32,31.5325,768,0.0411063,0.208686,5.07673,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_microsoft__beit-base-patch16-224_img_k_32/sparse_features_statistics.npz
cc3m,truncated,microsoft__beit-large-patch16-224_img,topk_16384_microsoft__beit-large-patch16-224_img_k_32,16384,32,16384,16283,32,31.5961,1024,0.039738,0.210243,5.29074,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_microsoft__beit-large-patch16-224_img_k_32/sparse_features_statistics.npz
cc3m,truncated,nomic-ai__nomic-embed-text-v1.5_text,topk_16384_nomic-ai__nomic-embed-text-v1.5_text_k_32,16384,32,16384,13240,32,26.1599,768,0.0225723,0.320595,14.203,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_nomic-ai__nomic-embed-text-v1.5_text_k_32/sparse_features_statistics.npz
cc3m,truncated,nomic-ai__nomic-embed-text-v2-moe_text,topk_16384_nomic-ai__nomic-embed-text-v2-moe_text_k_32,16384,32,16384,13178,32,24.2556,768,0.0237316,0.337105,14.2049,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_nomic-ai__nomic-embed-text-v2-moe_text_k_32/sparse_features_statistics.npz
cc3m,truncated,openai__clip-vit-base-patch32_img,topk_16384_openai__clip-vit-base-patch32_img_k_32,16384,32,16384,14149,32,28.9848,512,0.0408863,0.214074,5.23584,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_openai__clip-vit-base-patch32_img_k_32/sparse_features_statistics.npz
cc3m,truncated,openai__clip-vit-base-patch32_text,topk_16384_openai__clip-vit-base-patch32_text_k_32,16384,32,16384,15307,32,28.3167,512,0.029697,0.272682,9.18212,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_openai__clip-vit-base-patch32_text_k_32/sparse_features_statistics.npz
cc3m,truncated,openai__clip-vit-large-patch14_img,topk_16384_openai__clip-vit-large-patch14_img_k_32,16384,32,16384,15072,32,29.8983,768,0.0408191,0.215579,5.28132,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_openai__clip-vit-large-patch14_img_k_32/sparse_features_statistics.npz
cc3m,truncated,openai__clip-vit-large-patch14_text,topk_16384_openai__clip-vit-large-patch14_text_k_32,16384,32,16384,15134,32,28.3125,768,0.0312728,0.277359,8.86902,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_openai__clip-vit-large-patch14_text_k_32/sparse_features_statistics.npz
cc3m,truncated,Qwen__Qwen3-1.7B-Base_text,topk_16384_Qwen__Qwen3-1.7B-Base_text_k_32,16384,32,16384,15721,32,26.2272,2048,0.0222427,0.185882,8.35699,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_Qwen__Qwen3-1.7B-Base_text_k_32/sparse_features_statistics.npz
cc3m,truncated,Qwen__Qwen3-4B-Base_text,topk_16384_Qwen__Qwen3-4B-Base_text_k_32,16384,32,16384,15813,32,26.2104,2560,0.0232599,0.201925,8.68125,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_Qwen__Qwen3-4B-Base_text_k_32/sparse_features_statistics.npz
cc3m,truncated,BAAI__bge-base-en-v1.5_text,topk_16384_BAAI__bge-base-en-v1.5_text_k_64,16384,64,16384,14852,64,35.8094,768,0.016976,0.232482,13.6947,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_BAAI__bge-base-en-v1.5_text_k_64/sparse_features_statistics.npz
cc3m,truncated,BAAI__bge-large-en-v1.5_text,topk_16384_BAAI__bge-large-en-v1.5_text_k_64,16384,64,16384,14482,64,42.3915,1024,0.0172617,0.219226,12.7002,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_BAAI__bge-large-en-v1.5_text_k_64/sparse_features_statistics.npz
cc3m,truncated,codefuse-ai__F2LLM-1.7B_text,topk_16384_codefuse-ai__F2LLM-1.7B_text_k_64,16384,64,16384,15930,64,55.0691,2048,0.0204981,0.215745,10.5251,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_codefuse-ai__F2LLM-1.7B_text_k_64/sparse_features_statistics.npz
cc3m,truncated,codefuse-ai__F2LLM-4B_text,topk_16384_codefuse-ai__F2LLM-4B_text_k_64,16384,64,16384,16269,64,59.0939,2560,0.0218171,0.197833,9.06778,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_codefuse-ai__F2LLM-4B_text_k_64/sparse_features_statistics.npz
cc3m,truncated,facebook__dinov2-base_img,topk_16384_facebook__dinov2-base_img_k_64,16384,64,16384,16348,64,63.3372,768,0.0257843,0.180466,6.99908,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__dinov2-base_img_k_64/sparse_features_statistics.npz
cc3m,truncated,facebook__dinov2-large_img,topk_16384_facebook__dinov2-large_img_k_64,16384,64,16384,16262,64,63.3484,1024,0.0230792,0.191679,8.30527,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__dinov2-large_img_k_64/sparse_features_statistics.npz
cc3m,truncated,facebook__vit-mae-huge_img,topk_16384_facebook__vit-mae-huge_img_k_64,16384,64,16384,16196,64,36.034,1280,0.0165786,0.0880321,5.31,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__vit-mae-huge_img_k_64/sparse_features_statistics.npz
cc3m,truncated,facebook__vit-mae-large_img,topk_16384_facebook__vit-mae-large_img_k_64,16384,64,16384,16092,64,34.1653,1024,0.020561,0.0975483,4.74433,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__vit-mae-large_img_k_64/sparse_features_statistics.npz
